"date","solar_t","bad_quality"
"1996-06-19",349.847916666667,0
"1996-06-20",321.233333333333,0
"1996-06-21",177.175,0
"1996-06-22",178.06875,0
"1996-06-23",349.679166666667,0
"1996-06-24",336.797916666667,0
"1996-06-25",306.93125,0
"1996-06-26",330.164583333333,0
"1996-06-27",204.9375,0
"1996-06-28",209.677083333333,0
"1996-06-29",345.452083333333,0
"1996-06-30",337.141666666667,0
"1996-07-01",320.983333333333,0
"1996-07-02",350.1125,0
"1996-07-03",269.610416666667,0
"1996-07-04",288.389583333333,0
"1996-07-05",279.310416666667,0
"1996-07-06",282.701461377871,0
"1996-07-07",331.033472803347,0
"1996-07-08",178.1,0
"1996-07-09",112.597916666667,0
"1996-07-10",262.522916666667,0
"1996-07-11",351.00625,0
"1996-07-12",224.095833333333,0
"1996-07-13",262.466666666667,0
"1996-07-14",346.997916666667,0
"1996-07-15",206.6375,0
"1996-07-16",216.86875,0
"1996-07-17",267.627083333333,0
"1996-07-18",153.425,0
"1996-07-19",302.939583333333,0
"1996-07-20",339.879166666667,0
"1996-07-21",347.247916666667,0
"1996-07-22",331.339583333333,0
"1996-07-23",277.208333333333,0
"1996-07-24",299.925,0
"1996-07-25",79.6869300911854,1
"1996-07-26",215.857740585774,0
"1996-07-27",317.310416666667,0
"1996-07-28",246.289583333333,0
"1996-07-29",110.05,0
"1996-07-30",311.270833333333,0
"1996-07-31",314.652083333333,0
"1996-08-01",336.58125,0
"1996-08-02",278.620833333333,0
"1996-08-03",165.016666666667,0
"1996-08-04",271.78125,0
"1996-08-05",332.702083333333,0
"1996-08-06",283.2625,0
"1996-08-07",259.408333333333,0
"1996-08-08",306.433333333333,0
"1996-08-09",230.122916666667,0
"1996-08-10",285.44375,0
"1996-08-11",312.5125,0
"1996-08-12",266.952083333333,0
"1996-08-13",260.372916666667,0
"1996-08-14",174.947916666667,0
"1996-08-15",213.883333333333,0
"1996-08-16",301.018867924528,0
"1996-08-17",309.6,0
"1996-08-18",235.752083333333,0
"1996-08-19",192.602083333333,0
"1996-08-20",224.827083333333,0
"1996-08-21",184.206680584551,0
"1996-08-22",172.983263598326,0
"1996-08-23",259.270833333333,0
"1996-08-24",289.841666666667,0
"1996-08-25",294.729166666667,0
"1996-08-26",285.525,0
"1996-08-27",186.26875,0
"1996-08-28",120.139583333333,0
"1996-08-29",253.229166666667,0
"1996-08-30",241.360416666667,0
"1996-08-31",271.216666666667,0
"1996-09-01",198.55,0
"1996-09-02",236.477083333333,0
"1996-09-03",265.05625,0
"1996-09-04",208.695833333333,0
"1996-09-05",216.516666666667,0
"1996-09-06",43.63125,0
"1996-09-07",237.458333333333,0
"1996-09-08",208.670833333333,0
"1996-09-09",267.141666666667,0
"1996-09-10",243.29375,0
"1996-09-11",195.883333333333,0
"1996-09-12",95.7354166666667,0
"1996-09-13",156.889583333333,0
"1996-09-14",156.789583333333,0
"1996-09-15",223.972916666667,0
"1996-09-16",243.335416666667,0
"1996-09-17",88.7041666666667,0
"1996-09-18",157.533333333333,0
"1996-09-19",197.214583333333,0
"1996-09-20",180.745833333333,0
"1996-09-21",232.947807933194,0
"1996-09-22",176.979123173278,0
"1996-09-23",90.0854166666667,0
"1996-09-24",145,0
"1996-09-25",122.560416666667,0
"1996-09-26",117.80625,0
"1996-09-27",233.145833333333,0
"1996-09-28",232.01875,0
"1996-09-29",230.802083333333,0
"1996-09-30",202.254166666667,0
"1996-10-01",179.420833333333,0
"1996-10-02",79.0166666666667,0
"1996-10-03",160.647916666667,0
